WEIGHT,CLASS,GROSS CHG,NET,ORG ZIP,DEST ZIP,
130,100,$702.34 ,$702.34 ,30728,49783,
65,70,$585.00 ,$585.00 ,30728,48174,
62,150,$675.00 ,$820.13 ,48326,78840,
609,175,$907.53 ,$881.39 ,30728,30728,
609,175,$907.53 ,$881.39 ,30728,30728,
50,125,$733.22 ,$295.20 ,48326,46517,
90,100,$931.60 ,$410.05 ,30728,78041,
140,150,$88.60 ,$217.03 ,49237,48326,
350,150,$88.60 ,$604.33 ,48326,49418,
109,200,$88.60 ,$217.12 ,49237,48326,
185,70,$95.22 ,$221.04 ,48326,48089,
140,150,$88.60 ,$217.03 ,48326,49237,
109,200,$88.60 ,$217.12 ,48326,49237,
80,150,$88.60 ,$217.21 ,48326,49783,
142,60,$675.00 ,$332.10 ,48326,78045,
110,50,$399.00 ,$211.35 ,30728,45320,
182,250,$836.53 ,$409.90 ,30728,29693,
50,300,$397.17 ,$170.12 ,30728,30004,
65,85,$123.90 ,$150.54 ,30728,37388,
129,55,$97.65 ,$205.21 ,48326,37401,
115,100,$95.22 ,$146.58 ,30728,37416,
149,85,$86.00 ,$145.96 ,30728,37355,
125,125,$417.89 ,$167.53 ,48326,46517,
130,100,$118.00 ,$143.49 ,30728,37388,
225,60,$123.90 ,$151.78 ,30728,37388,
100,300,$88.60 ,$217.83 ,43506,48326,
100,300,$88.60 ,$217.83 ,48326,43506,
135,150,$86.00 ,$165.19 ,30728,35046,
100,300,$88.60 ,$217.12 ,43506,48326,
100,300,$88.60 ,$217.12 ,48326,43506,
237,70,$86.00 ,$165.19 ,49242,48326,
778,300,"$3,377.27 ","$1,277.29 ",48326,46809,
237,70,$86.00 ,$165.19 ,48326,49242,
168,85,$86.00 ,$145.96 ,30728,37355,
60,70,$340.54 ,$144.64 ,30728,30135,
81,70,$340.54 ,$144.64 ,30728,30135,
61,70,$340.54 ,$144.46 ,30728,30135,
28,70,$340.54 ,$143.92 ,30728,30135,
105,85,$602.00 ,$219.43 ,30728,78045,
13,70,$435.00 ,$184.53 ,30728,60126,
690,70,$599.61 ,$254.35 ,30728,30135,
314,60,$86.00 ,$165.36 ,48326,45845,
200,150,$88.60 ,$210.17 ,49237,48326,
125,150,$86.00 ,$200.02 ,48326,30728,
575,70,$88.60 ,$207.95 ,48326,48883,
242,55,$451.00 ,$184.53 ,30728,45601-3600,
155,150,$86.00 ,$245.79 ,48326,30728,
110,175,$125.00 ,$153.13 ,30728,35490,
205,70,$357.57 ,$151.31 ,30728,30135,
12230,55,"$1,632.00 ","$1,632.00 ",47711,30728,
12230,55,"$1,632.00 ","$1,632.00 ",30728,47711,
210,125,$719.19 ,$286.93 ,30728,60126,
150,150,$86.00 ,$165.36 ,30728,29693,
125,150,$86.00 ,$200.02 ,30728,48326,
200,150,$88.60 ,$210.17 ,48326,49237,
87,100,$98.50 ,$121.84 ,30728,37398,
73,100,$98.50 ,$121.60 ,30728,37398,
115,150,$86.00 ,$135.28 ,30728,35986,
90,150,$86.00 ,$135.28 ,30728,35986,
155,150,$86.00 ,$245.79 ,30728,48326,
175,150,$88.60 ,$217.74 ,48326,49783,
150,150,$200.30 ,$200.30 ,30728,45404,
235,70,$340.54 ,$144.64 ,30728,30135,
150,70,$340.54 ,$144.64 ,30728,30135,
235,70,$340.54 ,$144.46 ,30728,30135,
359,125,$857.11 ,$329.20 ,48326,46517,
240,70,$340.54 ,$144.28 ,30728,30135,
88,150,$75.00 ,$119.18 ,30728,37416,
110,150,$86.00 ,$165.36 ,48326,30728,
1470,250,"$2,863.22 ","$1,026.10 ",48326,48188,
1655,50,$950.63 ,$451.69 ,30728,39046,
33,100,$95.22 ,$146.35 ,30728,40245,
33,100,$95.22 ,$146.35 ,40245,30728,
76,55,$86.00 ,$145.88 ,47710,30728,
76,55,$86.00 ,$145.88 ,30728,47710,
125,70,$88.60 ,$136.87 ,48326,49448,
126,100,$95.22 ,$117.55 ,30728,37416,
72,100,$95.22 ,$117.31 ,30728,37388,
60,60,$290.40 ,$162.52 ,48326,30728,
120,100,$95.22 ,$115.64 ,30728,37388,
110,150,$86.00 ,$165.36 ,30728,48326,
140,150,$86.00 ,$165.10 ,48326,49783,
60,60,$290.40 ,$162.52 ,30728,48326,
233,125,$994.16 ,$361.18 ,30728,78264,
